Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres
MEDICAL,,0,10M,10+,Free,0,Everyone,Medical
PHOTOGRAPHY,4.3,811693,50M,"50,000,000+",Free,0,Everyone,Photography
GAME,4.6,547,1.3M,"10,000+",Free,0,Everyone,Board
TRAVEL_AND_LOCAL,4.3,20,15M,"1,000+",Free,0,Everyone,Travel & Local
BOOKS_AND_REFERENCE,4.8,11,608k,"1,000+",Free,0,Everyone,Books & Reference
FINANCE,2.5,2,5.0M,"1,000+",Free,0,Everyone,Finance
BEAUTY,4.0,2,13M,100+,Free,0,Everyone,Beauty
PRODUCTIVITY,4.2,145088,24M,"10,000,000+",Free,0,Everyone,Productivity
FAMILY,,2,16M,100+,Free,0,Everyone,Casual
PERSONALIZATION,5.0,3,3.4M,50+,Free,0,Everyone,Personalization
GAME,3.7,8581,12M,"1,000,000+",Free,0,Everyone,Arcade
COMMUNICATION,3.0,1820,33M,"100,000+",Free,0,Everyone,Communication
BUSINESS,2.0,9,3.4M,"1,000+",Free,0,Everyone,Business
SPORTS,,1,26M,10+,Free,0,Everyone,Sports
COMMUNICATION,,0,Varies with device,100+,Free,0,Everyone,Communication
NEWS_AND_MAGAZINES,3.1,124,12M,"10,000+",Free,0,Everyone,News & Magazines
SHOPPING,,3,5.3M,100+,Free,0,Everyone,Shopping
GAME,4.3,85468,36M,"1,000,000+",Paid,$0.99,Everyone,Arcade
TOOLS,4.7,1335799,3.8M,"50,000,000+",Free,0,Everyone,Tools
TOOLS,4.2,24,5.0M,"1,000+",Free,0,Everyone,Tools
SPORTS,4.8,160,6.4M,"10,000+",Free,0,Everyone,Sports
TRAVEL_AND_LOCAL,3.5,30447,80M,"5,000,000+",Free,0,Everyone,Travel & Local
LIFESTYLE,4.6,8004,34M,"100,000+",Free,0,Teen,Lifestyle
FAMILY,,5,16M,"1,000+",Free,0,Everyone,Entertainment
PRODUCTIVITY,4.4,1860844,61M,"500,000,000+",Free,0,Everyone,Productivity
PRODUCTIVITY,4.5,26559,Varies with device,"10,000,000+",Free,0,Everyone,Productivity
LIFESTYLE,4.6,69177,15M,"1,000,000+",Free,0,Teen,Lifestyle
TOOLS,4.6,78,375k,"10,000+",Free,0,Everyone,Tools
FINANCE,4.7,51,11M,"1,000+",Free,0,Everyone,Finance
ART_AND_DESIGN,4.7,149,3.5M,"1,000+",Paid,$1.99,Everyone,Art & Design
FAMILY,4.5,4450890,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure
FAMILY,3.7,681,8.2M,"10,000+",Free,0,Everyone,Education
FAMILY,3.7,165,25M,"10,000+",Free,0,Teen,Entertainment
HOUSE_AND_HOME,4.1,24977,21M,"1,000,000+",Free,0,Everyone,House & Home
FAMILY,4.0,25489,62M,"1,000,000+",Free,0,Everyone,Simulation
SOCIAL,4.2,83488,Varies with device,"5,000,000+",Free,0,Everyone,Social
TOOLS,,2,4.2M,100+,Free,0,Everyone,Tools
TOOLS,4.0,182,1.7M,"10,000+",Free,0,Everyone,Tools
BUSINESS,4.5,234,3.4M,"10,000+",Free,0,Everyone,Business
SHOPPING,4.2,39735,18M,"5,000,000+",Free,0,Teen,Shopping
FAMILY,4.5,9779,39M,"5,000,000+",Free,0,Everyone,Education;Creativity
FAMILY,4.1,148405,26M,"10,000,000+",Free,0,Everyone,Casual;Action & Adventure
ENTERTAINMENT,4.1,33387,20M,"1,000,000+",Free,0,Teen,Entertainment
FAMILY,4.7,48701,24M,"10,000,000+",Free,0,Everyone,Simulation;Action & Adventure
PERSONALIZATION,4.4,230,11M,"1,000+",Paid,$1.49,Everyone,Personalization
LIFESTYLE,4.8,10249,Varies with device,"10,000+",Paid,$2.49,Everyone,Lifestyle
SPORTS,3.9,47688,17M,"5,000,000+",Free,0,Everyone,Sports
GAME,4.9,59,21M,500+,Free,0,Everyone,Word
PERSONALIZATION,4.3,1714,31M,"100,000+",Free,0,Everyone,Personalization
SPORTS,4.4,122282,Varies with device,"5,000,000+",Free,0,Everyone 10+,Sports
ENTERTAINMENT,4.1,115033,30M,"10,000,000+",Free,0,Everyone,Entertainment
COMMUNICATION,4.5,51110,Varies with device,"1,000,000+",Paid,$2.99,Everyone,Communication
WEATHER,4.7,11118,9.7M,"1,000,000+",Free,0,Everyone,Weather
GAME,3.8,164,22M,"10,000+",Free,0,Everyone,Adventure
WEATHER,4.2,67854,Varies with device,"5,000,000+",Free,0,Everyone,Weather
GAME,4.9,37302,35M,"500,000+",Free,0,Everyone,Card
MEDICAL,4.8,53743,13M,"1,000,000+",Free,0,Everyone,Medical
FAMILY,4.5,253,83M,"10,000+",Paid,$3.99,Everyone,Education;Pretend Play
SOCIAL,3.2,38,1.5M,"1,000+",Paid,$0.99,Everyone,Social
BOOKS_AND_REFERENCE,3.7,4071,Varies with device,"500,000+",Free,0,Teen,Books & Reference
GAME,4.6,58575,96M,"1,000,000+",Free,0,Teen,Action
PARENTING,4.9,717,6.6M,"100,000+",Free,0,Everyone,Parenting
LIFESTYLE,3.9,386,7.9M,"50,000+",Free,0,Everyone,Lifestyle
EDUCATION,4.5,172508,76M,"5,000,000+",Free,0,Everyone,Education;Education
SHOPPING,4.6,308234,38M,"10,000,000+",Free,0,Everyone,Shopping
GAME,4.2,63056,8.1M,"1,000,000+",Free,0,Teen,Word
PERSONALIZATION,,3,9.2M,100+,Free,0,Everyone,Personalization
ENTERTAINMENT,4.2,123279,25M,"10,000,000+",Free,0,Everyone 10+,Entertainment;Music & Video
MEDICAL,5.0,2,29M,50+,Free,0,Everyone,Medical
BEAUTY,4.7,42050,Varies with device,"1,000,000+",Free,0,Everyone,Beauty
GAME,4.7,705,1.8M,"10,000+",Free,0,Everyone,Board
GAME,4.4,1218,15M,"500,000+",Free,0,Everyone 10+,Action
BOOKS_AND_REFERENCE,4.2,5775,4.9M,"500,000+",Free,0,Everyone,Books & Reference
HEALTH_AND_FITNESS,3.3,10,3.3M,"1,000+",Free,0,Everyone,Health & Fitness
HEALTH_AND_FITNESS,3.7,1861,1.5M,"1,000,000+",Free,0,Everyone,Health & Fitness
COMMUNICATION,3.7,481,420k,"10,000+",Paid,$0.99,Everyone,Communication
MEDICAL,5.0,1,4.6M,5+,Free,0,Everyone,Medical
MEDICAL,5.0,2,83M,10+,Free,0,Everyone,Medical
MAPS_AND_NAVIGATION,4.5,62,1.6M,"1,000+",Paid,$0.99,Everyone,Maps & Navigation
FAMILY,,1,1.7M,100+,Free,0,Everyone,Puzzle
LIFESTYLE,,0,4.3M,5+,Free,0,Everyone,Lifestyle
TOOLS,3.4,17030,Varies with device,"10,000,000+",Free,0,Everyone,Tools
PERSONALIZATION,,0,16M,10+,Free,0,Teen,Personalization
BUSINESS,4.1,1802,26M,"100,000+",Free,0,Everyone,Business
PRODUCTIVITY,,0,5.4M,0+,Paid,$154.99,Everyone,Productivity
FAMILY,4.2,1493,57M,"100,000+",Free,0,Everyone,Strategy
FINANCE,4.6,57493,Varies with device,"1,000,000+",Free,0,Everyone,Finance
FINANCE,3.7,112,3.9M,"10,000+",Free,0,Everyone,Finance
FAMILY,4.3,39109,4.0M,"1,000,000+",Free,0,Everyone,Entertainment
FAMILY,4.5,659,3.3M,"10,000+",Paid,$3.99,Everyone,Strategy
VIDEO_PLAYERS,4.4,953894,37M,"10,000,000+",Free,0,Everyone,Video Players & Editors
MEDICAL,3.6,10,15M,"1,000+",Free,0,Everyone,Medical
NEWS_AND_MAGAZINES,4.1,49259,Varies with device,"5,000,000+",Free,0,Everyone 10+,News & Magazines
GAME,4.5,3198176,82M,"100,000,000+",Free,0,Everyone,Arcade
TOOLS,4.0,9,4.7M,500+,Free,0,Everyone,Tools
LIFESTYLE,4.4,3829,23M,"1,000,000+",Free,0,Everyone,Lifestyle
BOOKS_AND_REFERENCE,4.1,85842,37M,"5,000,000+",Free,0,Everyone,Books & Reference
SPORTS,3.4,1845,12M,"100,000+",Free,0,Everyone,Sports
MEDICAL,4.0,15,5.0M,"1,000+",Paid,$14.99,Everyone,Medical
HOUSE_AND_HOME,4.6,36857,19M,"1,000,000+",Free,0,Everyone,House & Home
SPORTS,2.9,3017,24M,"100,000+",Free,0,Everyone,Sports
GAME,4.4,406511,21M,"5,000,000+",Free,0,Teen,Action
NEWS_AND_MAGAZINES,4.1,24456,Varies with device,"1,000,000+",Free,0,Everyone,News & Magazines
MAPS_AND_NAVIGATION,4.4,1421884,33M,"50,000,000+",Free,0,Everyone,Maps & Navigation
TOOLS,4.4,372553,21M,"10,000,000+",Free,0,Everyone,Tools
FAMILY,4.5,11436,15M,"1,000,000+",Free,0,Everyone,Casual;Brain Games
FOOD_AND_DRINK,4.3,151080,Varies with device,"5,000,000+",Free,0,Everyone,Food & Drink
GAME,4.2,62636,17M,"1,000,000+",Free,0,Teen,Action
FAMILY,4.4,623398,58M,"10,000,000+",Free,0,Everyone,Puzzle;Brain Games
COMICS,3.8,5084,6.2M,"100,000+",Free,0,Everyone,Comics
GAME,4.3,2903386,58M,"100,000,000+",Free,0,Mature 17+,Action
PHOTOGRAPHY,4.2,12726,15M,"1,000,000+",Free,0,Everyone,Photography
GAME,4.3,20691,89M,"1,000,000+",Free,0,Everyone,Racing
HEALTH_AND_FITNESS,4.6,524299,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness
PRODUCTIVITY,,2,28M,50+,Free,0,Everyone,Productivity
GAME,4.3,421000,36M,"10,000,000+",Free,0,Everyone,Arcade
FAMILY,4.9,119,17M,"1,000+",Free,0,Everyone,Entertainment
FAMILY,4.0,1699,72M,"100,000+",Free,0,Everyone,Entertainment;Music & Video
MAPS_AND_NAVIGATION,4.5,8,8.1M,100+,Free,0,Everyone,Maps & Navigation
TOOLS,4.9,85,19M,"1,000+",Free,0,Everyone,Tools
DATING,3.7,1212,Varies with device,"100,000+",Free,0,Mature 17+,Dating
EDUCATION,4.3,47847,21M,"1,000,000+",Free,0,Everyone,Education
FINANCE,4.1,6998,24M,"1,000,000+",Free,0,Everyone,Finance
HEALTH_AND_FITNESS,4.7,50294,11M,"1,000,000+",Free,0,Everyone,Health & Fitness
SOCIAL,,0,Varies with device,"1,000+",Free,0,Everyone,Social
SPORTS,4.0,9971,33M,"1,000,000+",Free,0,Everyone,Sports
FAMILY,4.1,83427,16M,"1,000,000+",Free,0,Everyone,Simulation
TOOLS,4.2,2630,18M,"100,000+",Free,0,Everyone,Tools
GAME,4.4,460,31M,"50,000+",Free,0,Everyone,Trivia
DATING,,0,10M,1+,Free,0,Mature 17+,Dating
NEWS_AND_MAGAZINES,,0,Varies with device,10+,Free,0,Everyone,News & Magazines
ART_AND_DESIGN,4.5,176,10M,"100,000+",Free,0,Everyone,Art & Design
FOOD_AND_DRINK,4.7,14065,7.1M,"500,000+",Free,0,Everyone,Food & Drink
HOUSE_AND_HOME,4.7,114,8.3M,"10,000+",Free,0,Teen,House & Home
HEALTH_AND_FITNESS,,0,41M,5+,Free,0,Everyone,Health & Fitness
LIFESTYLE,4.2,29756,45M,"1,000,000+",Free,0,Everyone,Lifestyle
GAME,4.4,45871,99M,"5,000,000+",Free,0,Teen,Action
DATING,4.6,185,5.0M,"10,000+",Free,0,Mature 17+,Dating
FAMILY,3.9,8,6.2M,"1,000+",Free,0,Everyone,Education
GAME,4.2,3816,31M,"100,000+",Free,0,Teen,Arcade
EDUCATION,4.4,55256,14M,"5,000,000+",Free,0,Everyone,Education
FINANCE,4.6,4546,3.0M,"100,000+",Free,0,Everyone,Finance
FAMILY,4.0,28633,81M,"1,000,000+",Free,0,Everyone 10+,Role Playing
FAMILY,4.5,10053186,94M,"100,000,000+",Free,0,Everyone,Casual
SPORTS,4.4,122282,Varies with device,"5,000,000+",Free,0,Everyone 10+,Sports
PHOTOGRAPHY,3.7,3362,Varies with device,"1,000,000+",Free,0,Everyone,Photography
COMMUNICATION,4.3,2451093,Varies with device,"100,000,000+",Free,0,Teen,Communication
FOOD_AND_DRINK,,0,27M,5+,Free,0,Everyone,Food & Drink
PHOTOGRAPHY,4.4,49553,48M,"1,000,000+",Paid,$5.99,Everyone,Photography
TOOLS,4.5,1094094,Varies with device,"100,000,000+",Free,0,Everyone,Tools
MEDICAL,5.0,2,11M,100+,Free,0,Mature 17+,Medical
EDUCATION,4.6,85375,21M,"5,000,000+",Free,0,Everyone,Education
GAME,4.6,169661,40M,"10,000,000+",Free,0,Everyone,Arcade
BOOKS_AND_REFERENCE,4.0,10774,35M,"100,000+",Free,0,Everyone,Books & Reference
ART_AND_DESIGN,4.1,36815,29M,"1,000,000+",Free,0,Everyone,Art & Design
FAMILY,4.5,1791,56M,"500,000+",Free,0,Everyone,Education;Education
HEALTH_AND_FITNESS,4.9,42,18M,"1,000+",Free,0,Everyone,Health & Fitness
FINANCE,4.3,14627,23M,"1,000,000+",Free,0,Everyone,Finance
MEDICAL,,44,4.0M,"10,000+",Free,0,Everyone,Medical
FAMILY,4.8,17,15M,100+,Free,0,Everyone,Education
PERSONALIZATION,4.7,65,7.6M,"5,000+",Free,0,Everyone,Personalization
GAME,4.4,3716278,36M,"50,000,000+",Free,0,Teen,Action
VIDEO_PLAYERS,1.9,105,9.1M,"10,000+",Free,0,Everyone,Video Players & Editors
SPORTS,4.1,3387,25M,"50,000+",Paid,$29.99,Everyone,Sports
SHOPPING,4.0,15867,Varies with device,"5,000,000+",Free,0,Everyone,Shopping
SOCIAL,,7,7.7M,100+,Free,0,Teen,Social
PERSONALIZATION,4.1,77724,7.1M,"5,000,000+",Free,0,Teen,Personalization
EDUCATION,4.4,390,41M,"500,000+",Free,0,Everyone,Education;Education
TOOLS,4.2,1586,1.5M,"500,000+",Free,0,Everyone,Tools
HOUSE_AND_HOME,,174,8.7M,"10,000+",Free,0,Everyone,House & Home
LIFESTYLE,,0,3.0M,100+,Free,0,Everyone,Lifestyle
GAME,4.7,1559650,Varies with device,"50,000,000+",Free,0,Everyone,Action
SPORTS,4.4,867920,45M,"10,000,000+",Free,0,Everyone,Sports
TOOLS,3.8,159,7.5M,"10,000+",Free,0,Everyone,Tools
TOOLS,,0,52M,100+,Free,0,Everyone,Tools
SPORTS,4.6,342,38M,"10,000+",Free,0,Everyone,Sports
EDUCATION,4.2,215301,Varies with device,"10,000,000+",Free,0,Everyone,Education
GAME,3.8,25275,21M,"5,000,000+",Free,0,Everyone,Racing
FAMILY,3.8,66033,6.8M,"10,000,000+",Free,0,Everyone,Casual
GAME,4.1,11258,44M,"500,000+",Free,0,Mature 17+,Action
GAME,4.3,22333,9.7M,"1,000,000+",Free,0,Everyone 10+,Action
FAMILY,4.5,6750,43M,"100,000+",Free,0,Everyone,Casual
FAMILY,,22,16M,"5,000+",Free,0,Everyone,Entertainment
EDUCATION,4.1,9348,Varies with device,"1,000,000+",Free,0,Everyone,Education
TOOLS,3.4,150,7.3M,"50,000+",Free,0,Everyone,Tools
FAMILY,4.4,29,5.3M,"5,000+",Free,0,Everyone,Education
FAMILY,,0,7.4M,0+,Paid,$1.99,Everyone,Education
TOOLS,4.5,5180480,26M,"100,000,000+",Free,0,Everyone,Tools
WEATHER,3.8,11,2.9M,500+,Paid,$1.99,Everyone,Weather
PRODUCTIVITY,4.5,40328,23M,"1,000,000+",Free,0,Everyone,Productivity
GAME,4.5,219821,10M,"1,000,000+",Free,0,Mature 17+,Action
HEALTH_AND_FITNESS,4.6,4102,24M,"500,000+",Free,0,Everyone 10+,Health & Fitness
FAMILY,4.5,174215,93M,"10,000,000+",Free,0,Everyone,Simulation
FAMILY,4.3,128,22M,"10,000+",Free,0,Everyone,Puzzle
SHOPPING,3.6,18252,10M,"10,000,000+",Free,0,Everyone,Shopping
TOOLS,3.6,3632,3.2M,"1,000,000+",Free,0,Everyone,Tools
LIBRARIES_AND_DEMO,3.9,58055,41k,"5,000,000+",Free,0,Everyone,Libraries & Demo
SPORTS,4.3,91033,Varies with device,"5,000,000+",Free,0,Everyone,Sports
GAME,,2536,32M,"100,000+",Free,0,Everyone,Trivia
PERSONALIZATION,4.3,495905,Varies with device,"50,000,000+",Free,0,Everyone,Personalization
SHOPPING,5.0,1,7.9M,10+,Free,0,Everyone,Shopping
EDUCATION,4.7,19277,5.3M,"1,000,000+",Free,0,Everyone,Education
PRODUCTIVITY,4.5,48,26M,"5,000+",Free,0,Everyone,Productivity
HEALTH_AND_FITNESS,,5,5.7M,10+,Free,0,Everyone,Health & Fitness
DATING,2.6,57,6.2M,"1,000+",Paid,$6.99,Everyone,Dating
GAME,4.4,7,34M,100+,Free,0,Everyone,Adventure
FOOD_AND_DRINK,3.6,14952,39M,"1,000,000+",Free,0,Everyone,Food & Drink
FAMILY,3.8,174,44M,"10,000+",Free,0,Everyone,Simulation
TOOLS,,5,21M,"1,000+",Free,0,Everyone,Tools
FAMILY,4.1,44027,52M,"5,000,000+",Free,0,Mature 17+,Strategy
FAMILY,,14,2.0M,"1,000+",Free,0,Everyone,Entertainment
DATING,3.3,1157,21M,"100,000+",Free,0,Mature 17+,Dating
PRODUCTIVITY,4.1,661,3.4M,"100,000+",Free,0,Everyone,Productivity
COMMUNICATION,4.5,192,15M,"10,000+",Free,0,Everyone,Communication
DATING,4.0,187,19M,"10,000+",Free,0,Mature 17+,Dating
TOOLS,3.0,736,1.8M,"100,000+",Free,0,Everyone,Tools
GAME,4.7,1115,39M,"100,000+",Free,0,Everyone,Arcade
TOOLS,4.1,3446,19M,"500,000+",Free,0,Everyone,Tools
PRODUCTIVITY,4.4,228755,Varies with device,"10,000,000+",Free,0,Everyone,Productivity
GAME,4.4,348962,26M,"1,000,000+",Paid,$6.99,Mature 17+,Action
PRODUCTIVITY,4.0,198,3.5M,"50,000+",Free,0,Everyone,Productivity
WEATHER,4.4,8433,5.6M,"100,000+",Free,0,Everyone,Weather
MEDICAL,4.5,171,20M,"10,000+",Paid,$10.00,Everyone 10+,Medical
FAMILY,4.3,9149,80M,"1,000,000+",Free,0,Everyone,Simulation
FAMILY,4.3,589,3.6M,"100,000+",Free,0,Mature 17+,Entertainment
SOCIAL,4.6,216513,Varies with device,"5,000,000+",Free,0,Mature 17+,Social
GAME,3.4,148177,78M,"10,000,000+",Free,0,Everyone,Arcade
TRAVEL_AND_LOCAL,4.2,42546,24M,"5,000,000+",Free,0,Everyone,Travel & Local
MEDICAL,,0,28M,50+,Free,0,Everyone,Medical
VIDEO_PLAYERS,3.7,430643,4.9M,"50,000,000+",Free,0,Everyone,Video Players & Editors
BUSINESS,4.4,42492,Varies with device,"1,000,000+",Free,0,Everyone,Business
BEAUTY,4.1,9315,2.6M,"1,000,000+",Free,0,Everyone,Beauty
SHOPPING,,2,7.6M,"1,000+",Free,0,Everyone,Shopping
PHOTOGRAPHY,4.6,847159,4.2M,"10,000,000+",Free,0,Everyone,Photography
FAMILY,4.3,1922,4.7M,"500,000+",Free,0,Everyone,Entertainment
FAMILY,4.1,1152,2.7M,"100,000+",Free,0,Everyone,Entertainment
COMMUNICATION,4.3,37320,8.4M,"1,000,000+",Free,0,Everyone,Communication
SPORTS,5.0,7,68M,100+,Free,0,Everyone,Sports
PARENTING,,63,4.9M,"10,000+",Free,0,Everyone,Parenting
HEALTH_AND_FITNESS,,0,8.7M,10+,Free,0,Everyone,Health & Fitness
FAMILY,4.6,7,12M,500+,Free,0,Everyone 10+,Education
TOOLS,3.7,43,10M,"5,000+",Free,0,Mature 17+,Tools
TOOLS,4.0,22,82k,"1,000+",Paid,$0.99,Everyone,Tools
PRODUCTIVITY,4.2,86172,13M,"1,000,000+",Free,0,Everyone,Productivity
ENTERTAINMENT,4.4,288150,21M,"5,000,000+",Free,0,Teen,Entertainment
PRODUCTIVITY,3.4,16,293k,100+,Paid,$6.49,Everyone,Productivity
FAMILY,4.5,29495,56M,"1,000,000+",Free,0,Teen,Simulation
PERSONALIZATION,4.1,2645,1.1M,"50,000+",Paid,$0.99,Everyone,Personalization
PRODUCTIVITY,4.1,12435,31M,"10,000,000+",Free,0,Everyone,Productivity
GAME,4.3,2251012,52M,"100,000,000+",Free,0,Everyone,Racing
SPORTS,4.2,75545,Varies with device,"5,000,000+",Free,0,Everyone,Sports
PHOTOGRAPHY,4.3,654419,Varies with device,"50,000,000+",Free,0,Everyone,Photography
FAMILY,4.1,1998,9.8M,"100,000+",Free,0,Everyone,Casual
PHOTOGRAPHY,4.5,3116,22M,"500,000+",Free,0,Everyone,Photography
FAMILY,4.2,82005,45M,"10,000,000+",Free,0,Everyone 10+,Action;Action & Adventure
HEALTH_AND_FITNESS,4.2,270267,58M,"5,000,000+",Free,0,Everyone,Health & Fitness
COMMUNICATION,,2,18M,100+,Free,0,Everyone,Communication
COMMUNICATION,4.0,3419513,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication
FAMILY,4.5,736824,20M,"10,000,000+",Free,0,Teen,Entertainment
BUSINESS,4.0,12,8.1M,"5,000+",Free,0,Everyone,Business
TRAVEL_AND_LOCAL,4.6,19,14M,500+,Free,0,Everyone,Travel & Local
BUSINESS,,45,15M,"5,000+",Free,0,Everyone,Business
MEDICAL,2.4,32,8.5M,"5,000+",Free,0,Everyone,Medical
COMMUNICATION,4.0,122498,79k,"10,000,000+",Free,0,Everyone,Communication
SHOPPING,3.9,117,9.8M,"10,000+",Free,0,Everyone,Shopping
GAME,,0,48M,50+,Free,0,Teen,Action
COMMUNICATION,4.2,10790289,Varies with device,"500,000,000+",Free,0,Everyone,Communication
FAMILY,4.5,23671,91M,"1,000,000+",Free,0,Everyone,Arcade;Pretend Play
HEALTH_AND_FITNESS,4.4,7586,45M,"500,000+",Free,0,Everyone,Health & Fitness
LIFESTYLE,4.1,5025,Varies with device,"500,000+",Free,0,Mature 17+,Lifestyle
TOOLS,4.7,2598579,49M,"50,000,000+",Free,0,Everyone,Tools
LIFESTYLE,4.4,1740,4.4M,"50,000+",Free,0,Teen,Lifestyle
GAME,4.2,70389,28M,"1,000,000+",Free,0,Teen,Action
FAMILY,4.5,10159,6.4M,"1,000,000+",Free,0,Everyone,Education
EDUCATION,3.8,828,Varies with device,"100,000+",Free,0,Everyone,Education
FAMILY,4.2,26426,30M,"1,000,000+",Free,0,Everyone,Education;Education
PERSONALIZATION,4.3,100130,Varies with device,"5,000,000+",Free,0,Everyone,Personalization
FAMILY,1.0,1,16M,10+,Paid,$2.99,Everyone,Education
TOOLS,4.7,1363,1.6M,"10,000+",Paid,$2.59,Everyone,Tools
FAMILY,4.3,14604,68M,"500,000+",Free,0,Teen,Simulation
TOOLS,4.5,474439,7.9M,"10,000,000+",Free,0,Everyone,Tools
GAME,3.9,172281,50M,"5,000,000+",Free,0,Everyone,Word
LIFESTYLE,4.5,2586,9.4M,"100,000+",Free,0,Everyone,Lifestyle
PHOTOGRAPHY,3.8,742,1.8M,"100,000+",Free,0,Everyone,Photography
SPORTS,3.8,926,7.6M,"50,000+",Free,0,Everyone,Sports
FAMILY,4.3,143087,69M,"1,000,000+",Free,0,Everyone 10+,Role Playing
PRODUCTIVITY,,0,38M,50+,Free,0,Everyone,Productivity
FOOD_AND_DRINK,3.8,22513,11M,"1,000,000+",Free,0,Everyone,Food & Drink
TRAVEL_AND_LOCAL,4.3,16734,10.0M,"1,000,000+",Free,0,Everyone,Travel & Local
NEWS_AND_MAGAZINES,4.7,10,2.3M,"1,000+",Free,0,Everyone,News & Magazines
TOOLS,4.1,174,12M,"5,000+",Free,0,Everyone,Tools
LIFESTYLE,5.0,141,15M,"1,000+",Free,0,Everyone,Lifestyle
MEDICAL,4.2,9,95M,"1,000+",Paid,$7.49,Everyone,Medical
FAMILY,4.6,769,13M,"100,000+",Free,0,Everyone,Entertainment
DATING,4.1,923,44M,"100,000+",Free,0,Mature 17+,Dating
FAMILY,4.3,22248,1.8M,"1,000,000+",Free,0,Everyone,Education
EDUCATION,4.6,7973,18M,"1,000,000+",Free,0,Everyone,Education
VIDEO_PLAYERS,4.8,259003,Varies with device,"10,000,000+",Free,0,Everyone,Video Players & Editors
PERSONALIZATION,4.3,1098,18M,"50,000+",Free,0,Everyone,Personalization
BUSINESS,4.3,29313,20M,"5,000,000+",Free,0,Everyone,Business
COMMUNICATION,4.4,177703,13M,"10,000,000+",Free,0,Mature 17+,Communication
FAMILY,4.5,1303,13M,"100,000+",Free,0,Everyone,Entertainment
ENTERTAINMENT,4.3,407719,Varies with device,"10,000,000+",Free,0,Teen,Entertainment
GAME,3.8,466,28M,"10,000+",Paid,$0.99,Everyone,Arcade
MAPS_AND_NAVIGATION,4.5,37937,25M,"1,000,000+",Free,0,Everyone,Maps & Navigation
VIDEO_PLAYERS,3.3,1261,2.5M,"10,000+",Free,0,Everyone,Video Players & Editors
ENTERTAINMENT,4.5,1575,43M,"100,000+",Free,0,Everyone,Entertainment
LIBRARIES_AND_DEMO,5.0,26,2.5M,"1,000+",Free,0,Everyone,Libraries & Demo
FAMILY,4.3,96,54M,"10,000+",Free,0,Everyone,Casual
TOOLS,4.5,148506,11M,"5,000,000+",Free,0,Everyone,Tools
COMMUNICATION,4.4,552635,29M,"10,000,000+",Free,0,Everyone,Communication
COMMUNICATION,3.5,11,5.2M,"1,000+",Free,0,Everyone,Communication
FINANCE,4.0,36,41M,"1,000+",Paid,$399.99,Everyone,Finance
FINANCE,4.6,23130,46M,"1,000,000+",Free,0,Everyone,Finance
MEDICAL,4.8,12,44M,100+,Paid,$6.99,Everyone,Medical
BEAUTY,4.7,257,4.6M,"50,000+",Free,0,Everyone,Beauty
LIFESTYLE,4.5,53652,39M,"1,000,000+",Free,0,Everyone,Lifestyle
GAME,4.2,109263,38M,"1,000,000+",Free,0,Teen,Action
NEWS_AND_MAGAZINES,4.1,40975,36M,"1,000,000+",Free,0,Everyone 10+,News & Magazines
PRODUCTIVITY,,0,24M,10+,Free,0,Everyone,Productivity
PARENTING,4.6,62386,3.4M,"1,000,000+",Free,0,Everyone,Parenting
COMMUNICATION,4.3,11334973,Varies with device,"500,000,000+",Free,0,Everyone,Communication
HEALTH_AND_FITNESS,2.3,3,2.4M,"1,000+",Free,0,Everyone,Health & Fitness
SHOPPING,4.0,141584,22M,"10,000,000+",Free,0,Teen,Shopping
PHOTOGRAPHY,4.3,125259,Varies with device,"50,000,000+",Free,0,Everyone,Photography
FAMILY,3.7,464,1.9M,"50,000+",Free,0,Everyone,Education
TOOLS,1.4,20,4.1M,"1,000+",Free,0,Everyone,Tools
COMICS,4.2,25673,Varies with device,"1,000,000+",Free,0,Teen,Comics
LIFESTYLE,3.3,1045,13M,"100,000+",Free,0,Everyone,Lifestyle
TOOLS,,5,2.3M,"1,000+",Free,0,Everyone,Tools
FAMILY,4.0,369,3.5M,"10,000+",Free,0,Everyone,Entertainment
BOOKS_AND_REFERENCE,4.1,114,6.3M,"10,000+",Free,0,Everyone,Books & Reference
GAME,4.3,29270,44M,"5,000,000+",Free,0,Everyone,Action
GAME,4.1,7904,21M,"500,000+",Free,0,Everyone 10+,Action
HEALTH_AND_FITNESS,4.5,106547,54M,"1,000,000+",Free,0,Everyone,Health & Fitness
GAME,4.0,267,40M,"10,000+",Paid,$1.99,Everyone,Action
PRODUCTIVITY,4.6,404617,Varies with device,"10,000,000+",Free,0,Everyone,Productivity
FINANCE,4.2,283,5.0M,"100,000+",Free,0,Everyone,Finance
TOOLS,4.3,99290,3.9M,"5,000,000+",Free,0,Everyone,Tools
PHOTOGRAPHY,4.4,2418135,Varies with device,"100,000,000+",Free,0,Everyone,Photography
FAMILY,4.5,514088,83M,"10,000,000+",Free,0,Everyone,Arcade;Action & Adventure
GAME,4.1,101,31M,"10,000+",Free,0,Everyone,Arcade
HOUSE_AND_HOME,4.4,71419,Varies with device,"5,000,000+",Free,0,Everyone,House & Home
FAMILY,3.6,284,70M,"10,000+",Free,0,Everyone,Simulation
